Application_mode,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Status
17,0,1,0,0,23,4,11.25,5,10.2,Dropout
1,0,1,0,1,18,7,12.61,7,12.61,Graduate
17,0,1,0,0,18,2,12.0,5,12.6,Graduate
15,0,0,0,0,20,5,13.0,6,13.5,Graduate
18,0,1,0,1,18,4,12.0,5,13.0,Graduate
1,0,1,0,0,18,4,12.0,0,0.0,Dropout
43,0,1,1,0,31,1,12.0,1,11.0,Dropout
39,0,1,1,0,24,0,0.0,0,0.0,Graduate
39,1,0,1,0,26,0,0.0,0,0.0,Dropout
1,1,1,1,0,18,5,13.625,4,11.75,Dropout
17,0,1,1,0,22,0,0.0,0,0.0,Dropout
1,0,1,1,0,18,7,11.69,7,11.69,Graduate
44,1,0,1,0,20,0,0.0,0,0.0,Dropout
44,0,1,1,0,25,0,0.0,0,0.0,Graduate
43,0,1,1,0,24,4,11.5,5,11.285714285714286,Graduate
39,0,1,1,0,27,1,14.0,0,0.0,Dropout
17,0,1,1,0,21,5,11.0,5,12.4,Graduate
44,0,1,1,0,21,6,12.857142857142858,6,13.166666666666666,Graduate
18,0,1,1,0,19,4,12.5,6,11.333333333333334,Dropout
39,0,1,1,0,28,7,14.528571428571428,8,15.018181818181818,Graduate
44,0,1,1,1,21,6,13.0,6,12.625,Graduate
1,0,1,1,1,18,7,15.957142857142856,8,15.188888888888888,Graduate
17,0,1,1,0,19,5,13.25,5,11.0,Graduate
1,0,1,1,0,19,3,12.0,3,12.0,Dropout
39,1,0,1,0,25,4,13.0,4,13.75,Dropout
43,1,1,1,0,21,9,11.77777777777778,3,13.666666666666666,Dropout
17,0,1,1,0,19,2,11.0,0,0.0,Dropout
17,0,1,1,0,20,0,0.0,0,0.0,Dropout
44,0,1,1,0,25,14,12.428571428571429,6,10.857142857142858,Dropout
1,0,1,1,0,18,0,0.0,0,0.0,Graduate
42,0,1,1,0,23,8,12.5075,8,12.5075,Graduate
53,0,1,1,0,21,11,12.090909090909092,11,12.0,Graduate
39,0,1,1,0,25,1,10.0,2,11.333333333333334,Dropout
1,0,1,1,0,18,6,13.5,5,13.2,Graduate
1,0,1,1,0,22,6,14.166666666666666,6,13.625,Graduate
39,0,1,1,0,27,6,14.0,6,14.714285714285714,Graduate
39,0,1,1,0,25,0,0.0,0,0.0,Dropout
17,0,1,1,0,18,3,11.666666666666666,3,11.333333333333334,Dropout
17,0,1,1,0,20,5,14.6,5,14.2,Graduate
39,0,1,1,0,27,5,13.0,5,11.5,Graduate
1,0,1,1,0,20,6,12.166666666666666,6,12.0,Graduate
1,0,1,1,0,22,0,0.0,1,12.0,Dropout
17,0,1,1,0,19,3,10.5,3,10.8,Dropout
43,0,1,1,0,19,0,0.0,0,0.0,Graduate
39,0,0,1,0,29,0,0.0,0,0.0,Dropout
1,0,1,1,0,19,7,13.828571428571427,7,13.828571428571427,Graduate
1,0,1,0,0,20,6,11.5,6,11.666666666666666,Graduate
1,0,1,0,0,20,4,13.5,6,13.625,Graduate
39,0,1,0,0,31,0,0.0,0,0.0,Dropout
17,0,1,0,0,18,7,12.5375,7,12.614285714285714,Graduate
1,0,1,0,0,18,4,12.0,4,12.8,Graduate
17,0,1,0,0,19,5,11.8,5,11.6,Graduate
1,0,1,0,1,18,5,15.0,5,15.2,Graduate
17,0,1,0,0,19,3,12.0,5,13.2,Graduate
17,0,1,0,1,18,6,12.833333333333334,6,12.285714285714286,Graduate
1,0,1,0,0,19,6,11.666666666666666,3,12.0,Graduate
1,0,1,0,0,19,7,12.1625,8,13.825,Graduate
1,0,1,0,0,18,6,13.833333333333334,6,14.555555555555555,Graduate
44,0,1,0,1,20,6,12.125,6,13.571428571428571,Graduate
39,0,1,0,0,29,11,11.454545454545457,11,11.545454545454543,Dropout
17,0,0,0,1,20,4,12.0,3,10.0,Dropout
39,1,0,0,0,31,6,12.666666666666666,5,12.6,Dropout
17,0,1,0,0,20,6,12.666666666666666,6,13.77777777777778,Graduate
17,0,1,0,0,21,18,11.88888888888889,13,11.461538461538462,Graduate
7,0,1,0,0,23,0,0.0,0,0.0,Dropout
17,1,0,0,0,21,4,13.0,4,11.6,Dropout
7,0,1,0,0,24,7,16.885714285714283,8,15.744444444444444,Graduate
39,0,1,0,0,27,6,12.5,6,12.333333333333334,Graduate
1,0,1,0,1,18,7,13.055555555555555,8,15.8125,Graduate
1,0,0,0,0,21,0,0.0,0,0.0,Dropout
17,1,1,0,1,19,0,0.0,0,0.0,Dropout
1,0,1,0,1,19,7,12.355714285714283,7,12.355714285714283,Graduate
17,0,1,0,0,18,0,0.0,0,0.0,Dropout
1,1,1,0,1,20,7,13.857142857142858,7,12.571428571428571,Graduate
1,0,1,0,0,24,5,13.0,6,14.166666666666666,Graduate
1,0,1,0,0,20,6,12.833333333333334,6,11.166666666666666,Graduate
1,0,1,0,1,19,7,12.357142857142858,7,12.357142857142858,Graduate
1,0,1,0,1,18,7,13.857142857142858,7,13.857142857142858,Graduate
17,0,1,0,1,20,6,12.333333333333334,6,10.666666666666666,Graduate
17,0,1,0,0,20,7,12.847142857142858,8,13.788888888888888,Graduate
17,0,1,0,1,19,6,12.339999999999998,8,13.01875,Graduate
1,0,1,0,0,20,6,13.833333333333334,6,12.5,Graduate
17,0,1,0,0,19,2,10.75,2,10.0,Dropout
17,0,1,0,0,19,4,13.25,4,10.25,Dropout
17,0,1,0,1,18,8,13.73125,8,13.73125,Graduate
17,0,1,0,1,23,6,13.333333333333334,3,12.666666666666666,Dropout
1,0,1,0,0,21,5,12.0,5,10.8,Dropout
44,0,1,0,0,23,9,10.88888888888889,6,11.333333333333334,Graduate
1,0,1,0,0,19,7,13.025,8,13.811111111111112,Graduate
17,0,1,0,0,18,6,13.0,6,14.166666666666666,Graduate
1,0,1,0,0,19,5,11.8,5,12.0,Graduate
39,0,1,0,1,25,7,12.042857142857144,7,12.042857142857144,Graduate
1,0,1,0,1,19,7,12.8375,8,15.5,Graduate
39,1,1,0,1,24,7,11.0,7,11.7,Graduate
1,0,1,0,1,18,6,13.5,5,14.0,Graduate
17,0,1,0,1,19,6,12.125,6,12.714285714285714,Graduate
1,0,1,0,1,18,7,12.62857142857143,7,12.62857142857143,Graduate
17,0,1,0,0,19,5,11.2,5,11.6,Graduate
18,0,1,0,1,18,6,12.666666666666666,6,11.833333333333334,Dropout
39,1,0,0,0,34,4,13.5,0,0.0,Dropout
1,1,0,0,0,20,0,0.0,0,0.0,Dropout
39,0,1,0,0,26,5,12.0,5,14.833333333333334,Graduate
43,0,1,0,0,27,7,12.228571428571428,8,13.2125,Graduate
1,0,1,0,0,20,4,11.5,4,10.75,Graduate
17,0,1,0,0,18,6,15.375,6,16.428571428571427,Graduate
39,0,1,0,0,24,7,12.614285714285714,7,12.614285714285714,Graduate
44,0,1,0,1,19,5,12.2,6,11.5,Graduate
1,0,1,0,0,19,4,11.75,4,11.0,Graduate
51,0,1,0,0,22,13,10.923076923076923,11,11.454545454545457,Graduate
43,0,1,0,0,20,5,12.4,5,12.4,Graduate
39,0,1,0,0,25,0,0.0,0,0.0,Dropout
44,0,1,0,0,21,6,15.833333333333334,6,15.5,Graduate
17,0,1,0,0,18,6,12.571428571428571,6,13.666666666666666,Graduate
1,0,1,0,0,18,3,12.0,4,13.25,Graduate
17,0,1,1,0,19,7,13.3625,8,14.444444444444445,Graduate
1,0,1,0,1,19,5,15.4,5,16.0,Graduate
17,1,0,0,0,18,5,12.2,4,11.75,Dropout
51,0,1,0,1,20,11,12.818181818181818,11,13.545454545454543,Graduate
17,0,1,0,0,19,0,0.0,0,0.0,Dropout
42,0,1,0,0,28,17,13.394736842105264,17,13.554736842105264,Graduate
1,0,1,0,1,20,6,14.25,6,11.0,Graduate
42,0,1,0,0,30,9,13.444444444444445,7,14.714285714285714,Dropout
1,0,1,0,1,19,7,12.285714285714286,8,11.7375,Graduate
1,0,1,0,0,22,6,11.666666666666666,5,13.2,Graduate
1,0,1,0,0,18,6,12.166666666666666,6,13.5,Graduate
17,0,1,0,0,23,2,10.0,2,11.0,Dropout
17,0,1,0,0,18,6,14.0,6,15.0,Graduate
39,1,0,1,0,50,1,15.0,0,0.0,Dropout
1,0,1,0,1,19,0,0.0,0,0.0,Graduate
17,0,1,0,0,22,6,10.833333333333334,6,10.666666666666666,Graduate
44,1,1,0,1,23,6,13.142857142857142,6,14.0,Graduate
18,1,0,0,1,20,5,14.4,5,14.0,Dropout
39,0,0,0,0,44,0,0.0,0,0.0,Dropout
39,0,1,1,0,49,7,12.0,9,11.22222222222222,Graduate
43,0,1,1,0,46,9,12.2,10,12.8,Graduate
39,0,0,1,0,41,3,12.333333333333334,2,11.0,Dropout
17,0,1,1,0,18,7,11.8375,8,12.48125,Graduate
39,0,1,1,0,43,5,11.8,5,14.0,Graduate
39,1,0,1,0,70,0,0.0,0,0.0,Dropout
39,0,1,1,0,48,0,0.0,0,0.0,Dropout
43,0,1,1,0,41,19,12.68421052631579,13,12.384615384615383,Graduate
39,1,0,1,0,35,3,11.25,0,0.0,Dropout
39,0,1,1,0,44,4,14.0,4,15.5,Graduate
1,1,1,1,0,18,4,13.333333333333334,2,13.5,Dropout
1,0,1,1,0,45,6,13.666666666666666,6,13.666666666666666,Graduate
44,0,1,1,0,22,5,12.6,6,11.714285714285714,Graduate
43,0,1,1,0,39,3,17.333333333333332,1,17.0,Dropout
39,0,1,1,0,49,3,14.0,3,13.666666666666666,Dropout
7,0,1,1,0,43,4,13.875,1,12.5,Dropout
39,0,1,1,0,32,0,0.0,0,0.0,Dropout
39,0,1,1,0,47,9,13.11111111111111,7,14.857142857142858,Graduate
39,0,1,1,1,37,5,13.0,4,13.333333333333334,Dropout
39,0,1,1,0,41,10,12.5,7,12.142857142857142,Graduate
39,0,1,1,0,60,18,14.11111111111111,13,14.23076923076923,Graduate
39,0,1,1,0,47,11,14.727272727272728,9,15.77777777777778,Graduate
39,1,0,1,0,50,0,0.0,0,0.0,Dropout
39,0,1,1,0,45,0,0.0,0,0.0,Dropout
39,1,0,1,0,45,0,0.0,0,0.0,Dropout
39,0,1,1,0,33,4,13.5,5,11.6,Graduate
1,0,1,1,0,18,7,13.105714285714283,7,13.105714285714283,Graduate
39,0,1,1,0,43,5,13.5,5,14.4,Graduate
43,0,1,1,0,44,13,11.846153846153848,11,12.0,Graduate
39,0,1,1,0,29,0,0.0,0,0.0,Dropout
39,1,0,1,0,53,3,14.333333333333334,0,0.0,Dropout
43,1,1,1,0,35,6,12.666666666666666,3,12.0,Dropout
1,0,1,1,0,22,0,0.0,0,0.0,Graduate
39,0,0,1,0,33,1,11.0,0,0.0,Dropout
7,0,0,1,0,41,0,0.0,0,0.0,Dropout
7,0,1,1,0,51,7,15.2,8,16.575,Graduate
51,0,1,1,0,19,6,14.428571428571429,7,14.375,Graduate
39,0,1,1,0,35,0,0.0,0,0.0,Dropout
1,0,1,1,0,20,0,0.0,0,0.0,Graduate
1,1,0,1,1,18,5,12.166666666666666,3,12.0,Dropout
44,0,1,1,0,21,5,12.142857142857142,5,11.666666666666666,Graduate
1,0,1,1,0,21,6,12.0,5,11.6,Graduate
39,0,1,1,0,34,3,11.666666666666666,4,12.75,Graduate
39,0,1,1,0,34,0,0.0,0,0.0,Dropout
17,0,1,1,0,21,6,11.875,5,12.0,Graduate
17,0,1,1,0,30,2,10.0,3,11.333333333333334,Dropout
51,0,1,1,0,20,6,13.833333333333334,5,13.0,Dropout
1,0,1,1,0,18,0,0.0,0,0.0,Dropout
1,0,1,1,0,19,6,14.428571428571429,6,12.5,Graduate
17,0,1,1,0,18,5,14.2,6,12.4,Dropout
39,0,1,1,0,27,4,11.5,3,10.333333333333334,Dropout
39,0,1,1,0,52,5,13.0,6,15.0,Graduate
43,0,0,1,0,29,0,0.0,0,0.0,Dropout
51,1,0,1,0,22,3,11.333333333333334,2,11.0,Dropout
43,0,1,1,0,28,18,12.5,12,11.428571428571429,Graduate
39,0,1,1,0,30,0,0.0,0,0.0,Dropout
1,0,1,0,0,18,7,13.471428571428572,8,13.944444444444445,Graduate
1,0,1,0,0,21,4,11.75,3,13.333333333333334,Graduate
1,1,1,0,1,20,6,13.333333333333334,6,14.666666666666666,Graduate
42,0,1,0,1,21,8,13.105,8,13.105,Graduate
39,1,0,0,0,32,0,0.0,0,0.0,Dropout
1,0,1,1,1,20,6,15.5,6,12.166666666666666,Graduate
1,1,0,1,0,19,0,0.0,0,0.0,Dropout
15,1,0,1,0,18,4,11.25,3,12.333333333333334,Dropout
43,0,0,1,0,23,12,11.0,11,11.363636363636363,Dropout
1,0,1,1,0,20,6,12.333333333333334,4,13.0,Graduate
43,0,1,0,0,46,8,11.375,5,11.8,Graduate
17,0,1,1,0,27,18,12.22222222222222,12,12.384615384615383,Graduate
43,0,1,1,0,41,9,12.0,6,12.0,Graduate
44,0,1,1,0,37,16,14.125,10,13.0,Graduate
7,0,1,0,0,26,9,12.333333333333334,7,12.571428571428571,Graduate
39,0,1,1,0,54,9,14.333333333333334,7,13.857142857142858,Graduate
17,0,1,1,0,21,6,15.166666666666666,6,14.0,Graduate
1,0,1,0,1,20,6,15.142857142857142,6,15.142857142857142,Graduate
17,0,1,0,0,18,0,0.0,0,0.0,Dropout
1,0,1,0,0,18,6,12.333333333333334,6,12.166666666666666,Graduate
44,1,1,0,0,22,6,12.0,3,12.0,Dropout
43,0,1,0,0,19,6,15.0,6,15.625,Graduate
1,0,1,0,0,21,8,13.875,9,12.7,Dropout
17,0,1,0,1,18,6,12.5,6,13.833333333333334,Graduate
17,0,1,0,1,18,6,15.0,6,15.5,Graduate
17,1,1,0,0,20,2,11.666666666666666,4,10.5,Dropout
1,0,1,0,1,18,7,14.668,8,14.63375,Graduate
1,0,1,0,1,20,5,12.8,6,12.333333333333334,Graduate
1,0,1,0,0,19,6,10.833333333333334,6,12.142857142857142,Graduate
1,0,1,0,0,18,6,13.666666666666666,5,14.0,Graduate
1,0,1,0,0,18,7,14.537142857142856,7,14.537142857142856,Graduate
5,1,1,0,1,18,5,14.4,5,14.0,Dropout
17,0,1,0,1,20,0,0.0,0,0.0,Graduate
17,0,1,0,1,19,6,13.166666666666666,6,13.833333333333334,Graduate
39,0,0,1,0,36,2,11.5,0,0.0,Dropout
17,0,1,0,1,19,6,11.333333333333334,6,12.428571428571429,Graduate
17,0,1,0,0,18,6,12.0,5,13.6,Graduate
1,0,1,0,1,18,6,13.166666666666666,6,12.166666666666666,Graduate
1,0,1,0,1,18,6,14.833333333333334,6,14.166666666666666,Graduate
44,0,1,0,0,19,7,13.0,9,13.22222222222222,Graduate
18,0,1,0,0,18,7,13.087142857142856,8,12.95,Graduate
1,0,1,0,1,19,6,13.333333333333334,6,13.666666666666666,Graduate
1,1,0,0,0,18,0,0.0,0,0.0,Dropout
17,0,1,0,0,19,5,13.6,5,12.2,Graduate
1,0,1,0,0,18,6,15.5,6,14.0,Graduate
1,0,1,0,0,19,7,13.857142857142858,7,14.285714285714286,Graduate
17,0,1,0,1,18,6,13.0,6,12.166666666666666,Graduate
1,0,1,0,0,20,0,0.0,0,0.0,Dropout
1,1,0,0,1,22,0,0.0,0,0.0,Dropout
17,0,1,0,1,18,7,12.142857142857142,6,13.666666666666666,Graduate
17,0,1,0,1,18,7,14.145714285714286,8,13.627777777777778,Graduate
1,0,1,0,0,18,7,14.45,8,14.144444444444444,Graduate
1,0,1,0,0,18,7,15.714285714285714,7,15.0,Graduate
16,0,1,0,0,18,6,14.5,6,12.833333333333334,Graduate
1,0,1,0,0,25,6,12.833333333333334,6,12.833333333333334,Graduate
1,0,1,0,1,18,5,12.0,4,11.6,Graduate
1,0,1,0,0,19,0,0.0,0,0.0,Graduate
1,0,1,0,1,20,6,12.571428571428571,6,13.285714285714286,Graduate
18,0,1,0,1,21,6,12.5,6,11.5,Graduate
17,0,1,0,0,18,6,14.0,5,14.0,Graduate
17,0,1,0,0,18,7,11.571428571428571,6,13.166666666666666,Dropout
1,0,1,0,1,18,6,15.833333333333334,6,15.333333333333334,Graduate
1,0,1,0,0,18,8,14.25,8,14.25,Graduate
43,0,1,0,0,19,0,0.0,0,0.0,Dropout
17,0,1,0,0,20,6,11.666666666666666,6,11.0,Dropout
39,0,1,0,0,47,0,0.0,0,0.0,Dropout
39,0,1,1,0,31,2,12.0,1,10.0,Dropout
39,0,1,1,0,46,0,0.0,0,0.0,Dropout
17,0,1,1,0,19,3,13.333333333333334,4,10.75,Dropout
44,0,0,1,0,22,0,0.0,0,0.0,Dropout
1,0,1,1,0,19,5,13.8,5,12.4,Graduate
1,1,0,0,0,19,0,0.0,0,0.0,Dropout
39,1,0,1,0,29,0,0.0,0,0.0,Dropout
1,0,1,0,0,18,6,14.016666666666666,6,14.016666666666666,Graduate
1,0,1,0,0,18,5,11.4,5,10.8,Graduate
1,1,0,0,1,23,0,0.0,0,0.0,Dropout
39,0,1,0,0,34,5,10.4,5,12.0,Graduate
17,0,1,0,0,19,3,10.666666666666666,4,10.25,Graduate
17,0,1,0,1,20,7,13.914285714285713,8,14.10625,Graduate
1,0,1,0,0,19,7,13.761111111111113,7,12.82375,Graduate
1,0,1,0,1,23,6,13.857142857142858,6,14.166666666666666,Graduate
39,0,1,1,1,34,7,13.842857142857143,7,13.842857142857143,Graduate
1,0,1,1,0,21,5,11.8,0,0.0,Dropout
1,0,1,1,0,22,6,12.666666666666666,6,13.833333333333334,Dropout
39,0,1,1,0,28,0,0.0,0,0.0,Dropout
5,0,1,1,0,23,0,0.0,0,0.0,Dropout
1,0,1,1,0,20,4,10.75,2,10.0,Dropout
18,0,1,1,0,18,5,12.6,3,13.25,Dropout
39,1,0,1,0,28,0,0.0,0,0.0,Dropout
44,0,1,1,0,21,2,12.0,7,12.142857142857142,Dropout
39,1,0,1,0,25,3,14.0,2,14.5,Dropout
44,0,0,1,0,19,6,14.0,6,13.5,Dropout
1,0,1,1,1,18,7,14.682857142857143,8,15.055555555555555,Graduate
39,0,1,1,0,29,0,0.0,0,0.0,Dropout
39,0,1,1,1,29,0,0.0,0,0.0,Dropout
18,0,1,1,0,20,6,13.857142857142858,5,12.8,Graduate
1,0,1,1,0,18,0,0.0,0,0.0,Graduate
1,0,1,1,0,20,6,13.142857142857142,6,12.5,Graduate
39,0,1,1,0,33,1,18.0,2,13.0,Dropout
42,0,1,1,0,30,13,11.461538461538462,10,11.583333333333334,Graduate
1,1,1,1,0,18,5,15.0,4,14.5,Graduate
1,0,1,1,1,19,7,14.244444444444444,8,12.233333333333333,Graduate
17,0,1,1,1,21,4,11.5,5,11.0,Dropout
39,0,1,1,1,25,2,10.0,0,0.0,Dropout
1,0,1,1,0,19,3,12.333333333333334,5,11.6,Graduate
44,0,1,1,0,23,5,12.2,7,12.142857142857142,Dropout
17,0,1,1,1,19,6,13.666666666666666,5,13.2,Graduate
1,0,1,1,0,19,0,0.0,0,0.0,Graduate
39,1,0,1,0,31,1,11.0,0,0.0,Dropout
39,1,0,1,0,32,3,13.0,6,11.428571428571429,Dropout
16,0,1,0,1,19,7,12.599999999999998,7,12.599999999999998,Graduate
42,0,1,0,0,34,10,12.2,9,12.333333333333334,Graduate
16,0,1,0,0,21,6,13.166666666666666,6,13.0,Graduate
43,0,1,0,1,53,6,11.0,7,11.0,Graduate
1,0,1,0,1,19,7,14.014285714285714,8,15.35,Graduate
1,0,1,0,1,20,4,13.0,4,11.25,Graduate
1,0,1,0,0,18,6,14.0,6,14.666666666666666,Graduate
39,0,0,0,0,32,0,0.0,0,0.0,Dropout
43,0,1,0,1,21,7,14.428571428571429,7,14.428571428571429,Graduate
7,0,0,0,0,26,0,0.0,0,0.0,Dropout
42,0,1,0,0,26,18,11.833333333333334,13,12.461538461538462,Graduate
44,0,0,0,0,21,3,11.333333333333334,1,13.0,Dropout
17,0,1,0,0,18,6,12.5,6,13.0,Graduate
43,0,1,0,1,21,12,13.333333333333334,11,12.545454545454543,Graduate
17,0,1,0,1,19,6,13.0,6,14.0,Graduate
17,0,1,0,0,19,2,10.0,2,14.0,Dropout
43,0,1,0,1,19,6,11.428571428571429,5,11.2,Graduate
7,0,1,0,0,27,8,12.8875,8,12.8875,Graduate
1,0,1,0,1,18,6,12.95,6,12.95,Graduate
1,0,1,0,0,20,1,10.0,0,0.0,Dropout
1,0,1,0,1,19,7,13.094285714285714,8,12.55,Graduate
1,0,1,0,0,20,0,0.0,0,0.0,Dropout
17,0,1,0,1,19,5,11.714285714285714,6,11.0,Graduate
1,0,1,0,0,20,0,0.0,0,0.0,Dropout
1,0,1,0,0,18,6,13.166666666666666,6,13.333333333333334,Graduate
1,0,1,0,0,20,4,12.75,5,13.4,Graduate
39,0,0,0,0,38,5,10.6,2,11.0,Dropout
39,0,1,0,0,42,5,11.2,6,12.0,Graduate
39,0,1,0,0,32,0,0.0,0,0.0,Dropout
15,0,1,0,0,22,6,13.0,6,13.666666666666666,Graduate
39,0,1,0,0,28,0,0.0,0,0.0,Dropout
39,0,1,0,0,37,0,0.0,0,0.0,Dropout
44,0,1,0,0,43,6,14.166666666666666,6,15.0,Graduate
39,0,1,0,1,41,5,12.833333333333334,6,12.333333333333334,Graduate
39,0,1,0,1,29,4,11.75,5,10.4,Graduate
39,0,1,0,1,35,6,10.833333333333334,6,11.5,Graduate
17,0,1,0,0,18,4,11.75,4,12.25,Dropout
39,0,0,0,1,39,3,11.5,2,10.5,Dropout
39,0,1,0,1,26,6,13.7,6,13.7,Graduate
7,0,1,0,0,32,1,14.0,0,0.0,Dropout
1,0,1,0,0,19,0,0.0,0,0.0,Dropout
1,0,1,0,1,19,6,13.0,7,13.285714285714286,Graduate
7,0,1,0,0,32,8,13.6,8,15.11111111111111,Graduate
39,0,1,0,0,31,3,11.0,2,11.5,Dropout
1,0,1,0,0,20,12,13.25,11,14.333333333333334,Graduate
39,0,1,0,0,28,1,10.75,1,10.0,Dropout
39,0,0,0,0,31,5,11.4,3,11.0,Dropout
1,0,1,0,0,19,6,13.0,5,12.4,Graduate
1,0,1,0,1,19,6,14.0,6,12.285714285714286,Graduate
7,0,1,0,0,34,0,0.0,0,0.0,Dropout
16,0,1,0,1,18,7,15.285714285714286,8,16.075,Graduate
17,0,1,0,0,18,6,13.166666666666666,6,12.666666666666666,Graduate
1,1,1,1,0,19,5,13.6,5,12.833333333333334,Graduate
17,0,0,1,1,22,0,0.0,0,0.0,Dropout
43,0,1,1,0,32,10,11.4,4,11.5,Graduate
39,0,1,1,0,61,0,0.0,0,0.0,Dropout
39,0,1,1,0,30,5,11.0,5,11.6,Graduate
39,1,0,1,0,45,0,0.0,0,0.0,Dropout
44,0,1,1,0,20,6,13.571428571428571,6,12.666666666666666,Graduate
18,0,1,0,0,19,0,0.0,0,0.0,Dropout
42,0,1,1,0,26,4,11.25,4,12.0,Dropout
17,0,1,1,0,19,3,13.333333333333334,1,11.0,Dropout
17,0,1,1,1,19,6,12.0,6,11.666666666666666,Graduate
1,0,1,1,0,19,6,12.5,5,13.0,Graduate
1,0,1,1,1,19,5,13.2,5,12.666666666666666,Graduate
1,0,0,1,0,19,0,0.0,0,0.0,Dropout
39,0,0,1,0,28,3,11.666666666666666,2,11.5,Dropout
43,0,1,1,0,24,15,13.466666666666669,14,13.642857142857142,Graduate
1,0,1,1,0,18,3,13.666666666666666,5,13.2,Graduate
1,0,1,1,1,18,6,11.666666666666666,5,10.2,Graduate
44,0,1,1,0,21,5,13.4,5,12.4,Graduate
39,0,0,1,0,28,0,0.0,0,0.0,Dropout
39,0,1,1,0,58,0,0.0,0,0.0,Dropout
39,0,0,1,0,49,0,0.0,0,0.0,Dropout
43,0,1,1,0,25,4,13.75,4,14.75,Graduate
42,0,1,1,0,33,1,10.0,0,0.0,Dropout
39,0,0,1,0,33,0,0.0,0,0.0,Dropout
43,0,1,1,0,40,1,16.0,4,15.5,Graduate
39,0,1,1,0,48,5,12.285714285714286,5,11.125,Graduate
39,0,1,1,0,24,6,12.666666666666666,6,12.666666666666666,Graduate
1,0,1,1,1,23,5,11.8,4,13.25,Graduate
39,1,0,1,0,39,5,10.6,5,14.666666666666666,Dropout
18,0,1,1,0,21,9,11.9,8,12.25,Graduate
42,0,1,1,0,34,4,11.25,2,10.5,Dropout
1,0,1,1,0,18,6,12.0,6,12.5,Graduate
1,0,1,1,0,19,2,10.0,1,16.0,Dropout
1,0,1,1,0,19,7,13.714285714285714,7,13.714285714285714,Graduate
7,0,1,1,0,28,6,14.875,6,15.8,Graduate
17,0,1,1,0,18,5,10.8,0,0.0,Dropout
1,0,1,1,0,19,3,12.0,2,10.0,Dropout
17,1,0,1,0,19,5,12.5,2,13.5,Dropout
17,0,1,0,0,18,7,14.728571428571428,8,16.327272727272728,Graduate
1,0,1,0,0,18,6,12.0,5,14.8,Graduate
1,0,1,0,0,18,6,11.428571428571429,6,11.0,Dropout
44,0,1,0,0,19,6,14.166666666666666,6,13.5,Graduate
7,0,1,0,0,31,5,12.5,5,14.6,Graduate
39,0,1,0,1,33,6,14.166666666666666,6,14.333333333333334,Graduate
17,0,1,0,0,19,6,12.666666666666666,5,13.4,Graduate
1,0,1,0,0,18,6,12.5,6,13.0,Dropout
17,0,1,0,0,18,0,0.0,0,0.0,Dropout
1,0,0,0,0,18,0,0.0,0,0.0,Dropout
1,0,1,0,0,18,0,0.0,0,0.0,Graduate
17,0,1,0,1,19,5,11.2,3,11.0,Graduate
17,0,1,0,0,18,6,16.5,6,17.428571428571427,Dropout
17,0,1,0,0,18,3,13.666666666666666,5,12.0,Graduate
17,0,1,0,1,18,7,15.228571428571428,7,15.228571428571428,Graduate
53,0,1,0,0,21,9,12.77777777777778,9,13.22222222222222,Graduate
1,0,1,0,1,18,7,14.428571428571429,7,14.428571428571429,Graduate
17,0,1,0,0,18,6,13.875,6,13.714285714285714,Graduate
1,0,1,0,0,18,7,13.128,6,13.193333333333332,Graduate
17,0,1,0,0,20,6,11.605,7,12.4125,Graduate
17,0,1,0,1,18,5,14.6,5,12.0,Graduate
1,0,1,0,0,18,0,0.0,0,0.0,Dropout
18,0,1,0,1,20,5,11.8,5,11.6,Graduate
17,0,1,0,0,20,6,12.333333333333334,6,12.333333333333334,Graduate
17,1,1,0,1,19,4,11.0,0,0.0,Dropout
51,0,1,0,1,19,11,13.181818181818182,11,12.909090909090908,Graduate
17,1,0,0,1,18,1,11.0,0,0.0,Dropout
17,1,1,0,1,19,6,11.833333333333334,6,12.285714285714286,Graduate
1,0,1,0,1,20,8,12.98125,8,12.98125,Graduate
44,0,1,0,0,21,6,11.333333333333334,5,11.2,Graduate
43,0,1,0,0,21,6,11.68,6,11.68,Graduate
17,0,1,0,0,20,6,14.5,6,13.5,Graduate
18,0,1,0,0,19,7,13.142857142857142,7,12.857142857142858,Graduate
17,0,0,0,0,21,2,11.5,2,10.5,Dropout
1,0,1,0,0,18,5,14.2,5,11.8,Graduate
1,0,1,0,1,19,5,11.666666666666666,5,12.2,Graduate
17,0,1,0,0,18,7,13.175,8,14.875,Graduate
1,0,1,0,1,19,7,13.314285714285717,7,13.314285714285717,Graduate
1,0,1,0,1,18,3,10.6,3,10.5,Graduate
1,0,1,0,0,18,6,13.428571428571429,6,14.142857142857142,Graduate
17,0,1,0,1,18,4,13.25,5,15.571428571428571,Graduate
17,0,1,0,0,18,2,13.0,0,0.0,Dropout
17,0,1,0,0,18,0,0.0,0,0.0,Dropout
1,0,1,0,0,18,6,14.0,6,13.166666666666666,Graduate
42,0,1,0,1,20,2,12.0,6,12.833333333333334,Graduate
17,0,1,0,0,18,5,11.8,5,10.4,Graduate
18,0,1,0,1,20,7,12.791428571428572,7,12.791428571428572,Graduate
